Source;Target;Type;Weight
1;2;Undirected;0.069444444
1;3;Undirected;0.069444444
1;58;Undirected;0.013888889
1;68;Undirected;0.041666667
1;71;Undirected;0.013888889
1;88;Undirected;0.069444444
1;91;Undirected;0.013888889
1;107;Undirected;0.097222222
2;68;Undirected;0.041666667
4;9;Undirected;0.013888889
4;95;Undirected;0.013888889
5;68;Undirected;0.097222222
6;9;Undirected;0.041666667
6;15;Undirected;0.041666667
6;25;Undirected;0.013888889
6;26;Undirected;0.013888889
6;62;Undirected;0.013888889
6;63;Undirected;0.013888889
6;64;Undirected;0.069444444
6;68;Undirected;0.013888889
6;90;Undirected;0.041666667
6;92;Undirected;0.013888889
6;93;Undirected;0.013888889
6;94;Undirected;0.013888889
6;100;Undirected;0.013888889
6;104;Undirected;0.041666667
6;108;Undirected;0.013888889
6;111;Undirected;0.180555556
7;64;Undirected;0.013888889
7;68;Undirected;0.013888889
8;9;Undirected;0.041666667
8;13;Undirected;0.013888889
8;92;Undirected;0.069444444
8;94;Undirected;0.013888889
8;108;Undirected;0.125
8;117;Undirected;0.041666667
9;14;Undirected;0.041666667
9;15;Undirected;0.013888889
9;62;Undirected;0.069444444
9;64;Undirected;0.097222222
9;65;Undirected;0.013888889
9;67;Undirected;0.069444444
9;93;Undirected;0.013888889
9;96;Undirected;0.013888889
9;104;Undirected;0.013888889
9;106;Undirected;0.013888889
9;107;Undirected;0.013888889
9;108;Undirected;0.291666667
9;109;Undirected;0.013888889
9;110;Undirected;0.013888889
9;111;Undirected;0.041666667
10;64;Undirected;0.013888889
10;68;Undirected;0.013888889
11;110;Undirected;0.013888889
11;118;Undirected;0.013888889
12;107;Undirected;0.013888889
13;64;Undirected;0.013888889
13;93;Undirected;0.013888889
13;108;Undirected;0.069444444
14;15;Undirected;0.013888889
14;16;Undirected;0.013888889
15;68;Undirected;0.041666667
15;108;Undirected;0.013888889
15;111;Undirected;0.097222222
15;117;Undirected;0.013888889
17;27;Undirected;0.013888889
17;92;Undirected;0.013888889
18;108;Undirected;0.013888889
19;34;Undirected;0.013888889
19;38;Undirected;0.041666667
19;115;Undirected;0.097222222
19;116;Undirected;0.041666667
20;22;Undirected;0.013888889
20;45;Undirected;0.013888889
20;87;Undirected;0.013888889
20;104;Undirected;0.013888889
20;108;Undirected;0.013888889
21;68;Undirected;0.013888889
22;104;Undirected;0.013888889
23;73;Undirected;0.013888889
23;94;Undirected;0.013888889
24;104;Undirected;0.013888889
25;68;Undirected;0.013888889
25;96;Undirected;0.013888889
26;104;Undirected;0.013888889
27;28;Undirected;0.013888889
27;55;Undirected;0.041666667
27;65;Undirected;0.013888889
27;68;Undirected;0.013888889
27;92;Undirected;0.013888889
27;93;Undirected;0.013888889
29;68;Undirected;0.097222222
29;88;Undirected;0.013888889
30;104;Undirected;0.013888889
31;104;Undirected;0.013888889
32;104;Undirected;0.013888889
33;108;Undirected;0.013888889
34;37;Undirected;0.013888889
34;42;Undirected;0.013888889
34;115;Undirected;0.041666667
35;108;Undirected;0.013888889
36;37;Undirected;0.013888889
37;38;Undirected;0.013888889
37;40;Undirected;0.013888889
37;41;Undirected;0.041666667
37;44;Undirected;0.013888889
37;70;Undirected;0.013888889
37;73;Undirected;0.069444444
37;115;Undirected;0.347222222
37;116;Undirected;0.013888889
38;42;Undirected;0.097222222
38;73;Undirected;0.013888889
38;115;Undirected;0.152777778
39;115;Undirected;0.013888889
40;115;Undirected;0.013888889
41;42;Undirected;0.013888889
41;70;Undirected;0.041666667
41;73;Undirected;0.041666667
41;115;Undirected;0.097222222
42;73;Undirected;0.097222222
42;115;Undirected;0.097222222
42;116;Undirected;0.013888889
43;104;Undirected;0.069444444
44;94;Undirected;0.013888889
44;115;Undirected;0.041666667
44;116;Undirected;0.069444444
45;108;Undirected;0.013888889
46;55;Undirected;0.013888889
46;98;Undirected;0.013888889
46;106;Undirected;0.069444444
46;109;Undirected;0.013888889
46;110;Undirected;0.013888889
47;106;Undirected;0.013888889
47;110;Undirected;0.013888889
48;106;Undirected;0.013888889
49;51;Undirected;0.013888889
50;51;Undirected;0.013888889
51;52;Undirected;0.013888889
51;107;Undirected;0.013888889
53;107;Undirected;0.013888889
54;61;Undirected;0.013888889
54;110;Undirected;0.013888889
54;118;Undirected;0.013888889
55;65;Undirected;0.013888889
55;68;Undirected;0.013888889
55;97;Undirected;0.013888889
55;98;Undirected;0.069444444
55;103;Undirected;0.041666667
55;106;Undirected;0.069444444
55;107;Undirected;0.013888889
55;108;Undirected;0.097222222
55;110;Undirected;0.236111111
55;118;Undirected;0.069444444
56;68;Undirected;0.069444444
56;69;Undirected;0.013888889
56;88;Undirected;0.013888889
57;68;Undirected;0.013888889
59;69;Undirected;0.013888889
60;69;Undirected;0.013888889
61;110;Undirected;0.013888889
61;118;Undirected;0.013888889
62;64;Undirected;0.069444444
62;65;Undirected;0.013888889
62;92;Undirected;0.013888889
62;94;Undirected;0.041666667
62;108;Undirected;0.069444444
63;43;Undirected;0.013888889
63;104;Undirected;0.013888889
63;111;Undirected;0.013888889
64;65;Undirected;0.097222222
64;67;Undirected;0.013888889
64;68;Undirected;0.013888889
64;90;Undirected;0.013888889
64;92;Undirected;0.013888889
64;93;Undirected;0.013888889
64;104;Undirected;0.069444444
64;106;Undirected;0.013888889
64;107;Undirected;0.041666667
64;108;Undirected;0.180555556
64;111;Undirected;0.069444444
65;68;Undirected;0.069444444
65;69;Undirected;0.013888889
65;92;Undirected;0.013888889
65;95;Undirected;0.041666667
65;103;Undirected;0.013888889
65;106;Undirected;0.013888889
65;107;Undirected;0.041666667
65;108;Undirected;0.097222222
65;110;Undirected;0.013888889
65;118;Undirected;0.013888889
66;68;Undirected;0.069444444
66;69;Undirected;0.069444444
68;69;Undirected;0.125
68;72;Undirected;0.069444444
68;76;Undirected;0.013888889
68;80;Undirected;0.013888889
68;81;Undirected;0.013888889
68;87;Undirected;0.013888889
68;88;Undirected;0.263888889
68;98;Undirected;0.013888889
68;103;Undirected;0.097222222
68;105;Undirected;0.041666667
68;106;Undirected;0.013888889
68;107;Undirected;0.097222222
68;110;Undirected;0.097222222
68;114;Undirected;0.013888889
69;88;Undirected;0.013888889
70;73;Undirected;0.041666667
70;115;Undirected;0.125
72;74;Undirected;0.013888889
72;76;Undirected;0.013888889
72;78;Undirected;0.013888889
72;79;Undirected;0.013888889
72;80;Undirected;0.013888889
72;81;Undirected;0.013888889
72;84;Undirected;0.069444444
72;103;Undirected;0.236111111
73;115;Undirected;0.513888889
73;116;Undirected;0.125
74;114;Undirected;0.013888889
75;82;Undirected;0.013888889
75;86;Undirected;0.013888889
76;80;Undirected;0.069444444
76;84;Undirected;0.069444444
76;85;Undirected;0.069444444
76;103;Undirected;0.180555556
77;114;Undirected;0.013888889
78;84;Undirected;0.041666667
78;103;Undirected;0.041666667
80;84;Undirected;0.069444444
80;85;Undirected;0.041666667
80;103;Undirected;0.208333333
80;114;Undirected;0.013888889
81;84;Undirected;0.013888889
81;85;Undirected;0.041666667
81;103;Undirected;0.041666667
81;105;Undirected;0.013888889
82;86;Undirected;0.013888889
83;84;Undirected;0.013888889
83;103;Undirected;0.013888889
84;85;Undirected;0.069444444
84;103;Undirected;0.319444444
84;114;Undirected;0.013888889
85;103;Undirected;0.125
86;108;Undirected;0.013888889
87;104;Undirected;0.097222222
87;105;Undirected;0.013888889
87;108;Undirected;0.069444444
89;107;Undirected;0.013888889
90;108;Undirected;0.013888889
90;111;Undirected;0.013888889
92;93;Undirected;0.041666667
92;94;Undirected;0.069444444
92;100;Undirected;0.013888889
92;104;Undirected;0.013888889
92;107;Undirected;0.069444444
92;108;Undirected;0.375
92;111;Undirected;0.097222222
93;108;Undirected;0.152777778
93;111;Undirected;0.041666667
94;107;Undirected;0.013888889
94;108;Undirected;0.236111111
94;111;Undirected;0.041666667
95;104;Undirected;0.013888889
95;108;Undirected;0.208333333
96;98;Undirected;0.013888889
96;103;Undirected;0.013888889
96;107;Undirected;0.263888889
96;108;Undirected;0.041666667
96;110;Undirected;0.013888889
