"","Jugador","Partidos","Min","Goles","Asistencias","P","G Enc","T","TaP","Pre T%","C","CP","Pre C%","","CF","FR","FC","PI","BR","","","","","","PL","","","","TB","","Reg","PA","P%","CC","FC","FCP","FD","FDaP","GF"
"1","'Chicharito' Hernández",9,448,1,0,0,0,13,6,"46%",4,1,"25%",0,3,12,7,5,3,0,0,0,0,0,0,0,0,0,0,0,0,3,"75%",0,0,0,0,0,0
"2","Aarón Escandell",1,90,0,0,2,1,0,0,"0%",0,0,"0%",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"52%",0,0,0,0,0,0
"3","Abdon Prats",13,180,0,0,0,0,7,4,"57%",1,0,"0%",1,1,2,6,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,"67%",0,0,0,0,0,0
"4","Adnan Januzaj",17,804,2,3,0,0,19,5,"26%",36,9,"25%",0,8,25,18,3,7,0,2,0,0,0,0,0,0,0,1,0,20,17,"68%",11,3,0,2,0,0
"5","Adrià Pedrosa",14,857,1,0,0,0,12,5,"42%",25,4,"16%",0,3,11,7,8,7,0,1,0,0,0,0,0,0,0,0,0,14,3,"76%",0,3,0,0,0,0
"6","Adrián Embarba",7,525,2,1,0,0,13,6,"46%",44,8,"18%",0,3,9,10,3,12,0,2,0,0,0,1,1,0,0,2,0,11,9,"58%",13,7,1,3,2,1
"7","Adrián López",17,882,0,0,0,0,11,4,"36%",10,2,"20%",0,8,4,5,1,2,0,0,0,0,0,0,0,0,0,1,0,13,19,"72%",0,0,0,0,0,0
"8","Adrián Marín",4,337,0,0,0,0,1,0,"0%",6,0,"0%",0,1,1,10,6,6,0,0,0,1,0,0,0,0,0,4,0,2,0,"74%",1,0,0,0,0,0
"9","Adrián Ramos",7,226,0,0,0,0,6,1,"17%",2,0,"0%",0,2,6,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,"64%",0,0,0,0,0,0
"10","Aihen Muñoz",8,626,0,0,0,0,0,0,"0%",28,6,"21%",0,6,2,4,2,12,0,0,0,0,0,0,0,0,0,2,0,2,0,"82%",0,2,0,0,0,0
"11","Aissa Mandi",22,1946,0,0,0,0,7,1,"14%",1,0,"0%",1,0,14,23,35,14,0,8,0,0,0,0,0,0,0,11,0,6,4,"90%",0,6,0,0,0,0
"12","Aitor Fernández",27,2430,0,0,126,40,0,0,"0%",0,0,"0%",0,1,4,0,3,1,0,2,0,0,0,0,0,2,0,0,1,0,1,"59%",0,4,0,0,0,0
"13","Aitor Ruibal",14,508,0,0,0,0,6,1,"17%",17,2,"12%",0,7,5,15,1,10,0,2,0,0,0,0,0,0,0,1,0,12,7,"83%",1,0,0,0,0,0
"14","Alberto Moreno",10,776,0,0,0,0,8,3,"38%",16,2,"13%",0,2,6,7,11,13,0,2,0,0,0,0,0,0,0,2,0,8,6,"86%",0,0,0,0,0,0
"15","Alberto Rodríguez",2,12,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"67%",0,1,0,0,0,0
"16","Aleix Febas",23,1401,0,3,0,0,8,4,"50%",2,0,"0%",0,4,36,13,14,21,0,3,0,0,1,0,0,0,0,0,0,33,20,"83%",0,0,0,0,0,0
"17","Aleix Vidal",25,1987,2,4,0,0,21,9,"43%",101,41,"41%",0,13,41,16,21,13,0,6,0,0,1,0,0,0,0,1,0,23,41,"78%",31,32,9,3,0,0
"18","Alejandro Pozo",11,551,0,1,0,0,1,0,"0%",22,4,"18%",0,2,6,6,11,10,0,0,0,0,0,0,0,0,0,0,0,6,5,"68%",0,1,0,0,0,0
"19","Aleksandar Sedlar",5,257,0,0,0,0,0,0,"0%",0,0,"0%",0,0,4,4,5,0,0,1,0,0,0,0,0,0,0,2,0,0,0,"86%",0,0,0,0,0,0
"20","Aleksandar Trajkovski",7,154,0,0,0,0,3,0,"0%",13,4,"31%",0,3,4,4,2,1,0,0,0,0,0,0,0,0,0,0,0,2,5,"76%",7,0,0,0,0,0
"21","Alessandro Florenzi",3,193,0,0,0,0,2,1,"50%",4,2,"50%",0,1,1,4,4,2,0,1,1,0,0,0,0,0,0,0,0,2,0,"66%",0,0,0,0,0,0
"22","Álex Alegría",6,109,0,0,0,0,0,0,"0%",1,0,"0%",0,2,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"66%",0,0,0,0,0,0
"23","Álex Collado",1,6,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"90%",0,0,0,0,0,0
"24","Álex Martínez",1,15,0,0,0,0,1,0,"0%",4,0,"0%",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"100%",1,2,0,1,0,0
"25","Álex Moreno",23,1796,0,4,0,0,20,8,"40%",59,16,"27%",0,24,29,26,18,18,1,3,0,2,0,0,0,0,0,7,1,36,20,"79%",0,0,0,0,0,0
"26","Álex Remiro",20,1800,0,0,51,24,1,0,"0%",0,0,"0%",0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"73%",0,4,0,0,0,0
"27","Alexander Isak",27,1064,7,1,0,0,34,16,"47%",7,3,"43%",0,10,9,16,3,2,0,2,0,0,0,0,0,0,0,0,0,10,10,"74%",0,0,0,0,0,0
"28","Alfonso Pedraza",12,795,0,0,0,0,8,2,"25%",18,5,"28%",0,5,13,10,10,13,0,1,0,0,0,0,0,0,0,5,0,10,7,"75%",0,0,0,0,0,0
"29","Allan Nyom",25,1796,2,0,0,0,10,3,"30%",68,13,"19%",0,16,16,46,13,19,0,10,0,0,0,0,0,0,0,4,0,8,6,"62%",0,2,0,0,0,0
"30","Allan Saint-Maximin",1,90,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"31","Alphonse Areola",3,270,0,0,4,3,0,0,"0%",0,0,"0%",0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"79%",0,1,0,0,0,0
"32","Álvaro Morata",23,1619,8,1,0,0,57,27,"47%",10,1,"10%",1,18,51,46,4,6,0,5,1,0,0,2,1,0,0,2,0,14,21,"66%",0,0,0,0,0,0
"33","Álvaro Odriozola",4,343,0,1,0,0,2,0,"0%",6,1,"17%",0,3,4,7,1,2,0,3,1,0,0,0,0,0,0,0,0,6,5,"91%",0,0,0,0,0,0
"34","Álvaro Tejero",15,1192,0,0,0,0,4,1,"25%",65,20,"31%",0,8,15,15,24,16,0,3,0,0,0,0,0,0,0,4,0,3,15,"72%",0,3,0,0,0,0
"35","Álvaro Vadillo",22,1219,3,1,0,0,17,5,"29%",93,29,"31%",0,16,20,9,7,10,0,0,0,0,0,1,1,0,0,0,0,21,21,"75%",35,21,6,12,1,1
"36","Amath Ndiaye",3,48,0,0,0,0,0,0,"0%",0,0,"0%",0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,"67%",0,0,0,0,0,0
"37","Anaitz Arbilla",20,1729,1,0,0,0,14,2,"14%",24,5,"21%",0,3,11,20,26,16,0,5,0,0,0,0,0,0,0,3,0,7,4,"75%",0,23,0,3,0,0
"38","Ander Barrenetxea",12,218,1,0,0,0,8,4,"50%",9,2,"22%",0,0,3,10,2,5,0,0,0,1,0,0,0,0,0,0,0,9,7,"83%",0,0,0,0,0,0
"39","Ander Capa",25,2140,2,4,0,0,15,6,"40%",79,12,"15%",0,15,13,40,24,27,0,10,0,0,0,0,0,0,0,4,0,34,18,"76%",0,2,0,0,0,0
"40","Ander Guevara",14,936,0,0,0,0,3,0,"0%",2,1,"50%",0,0,5,27,10,13,0,4,0,0,0,0,0,0,0,3,0,11,7,"85%",0,1,0,0,0,0
"41","Ander Iturraspe",6,180,0,0,0,0,0,0,"0%",0,0,"0%",0,0,1,4,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,"70%",0,0,0,0,0,0
"42","Andoni Gorosabel",6,382,0,0,0,0,1,1,"100%",12,3,"25%",0,4,5,3,8,7,0,0,0,0,0,0,0,0,0,1,0,4,2,"76%",0,0,0,0,0,0
"43","Andoni Zubiaurre",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"44","André Grandi",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"45","Andrei Florin",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"46","Andrés Fernández",3,270,0,0,9,8,0,0,"0%",0,0,"0%",0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"69%",0,1,0,0,0,0
"47","Andrés Guardado",20,1529,0,3,0,0,10,4,"40%",14,4,"29%",0,4,16,29,15,12,0,9,0,1,0,0,0,0,0,4,0,14,22,"84%",1,2,0,0,0,0
