sexo;trimestre;paro
Hombres;2020T1;12.79
Hombres;2019T4;12.23
Hombres;2019T3;12.17
Hombres;2019T2;12.49
Hombres;2019T1;12.90
Hombres;2018T4;12.87
Hombres;2018T3;13.12
Hombres;2018T2;13.72
Hombres;2018T1;15.18
Hombres;2017T4;14.97
Hombres;2017T3;14.80
Hombres;2017T2;15.64
Hombres;2017T1;17.22
Hombres;2016T4;17.22
Hombres;2016T3;17.39
Hombres;2016T2;18.41
Hombres;2016T1;19.45
Hombres;2015T4;19.49
Hombres;2015T3;19.90
Hombres;2015T2;20.96
Hombres;2015T1;22.74
Hombres;2014T4;22.80
Hombres;2014T3;22.53
Hombres;2014T2;23.70
Hombres;2014T1;25.37
Hombres;2013T4;25.04
Hombres;2013T3;25.19
Hombres;2013T2;25.50
Hombres;2013T1;26.66
Hombres;2012T4;25.40
Hombres;2012T3;24.54
Hombres;2012T2;24.43
Hombres;2012T1;23.96
Hombres;2011T4;22.26
Hombres;2011T3;20.90
Hombres;2011T2;20.42
Hombres;2011T1;20.60
Hombres;2010T4;19.80
Hombres;2010T3;19.12
Hombres;2010T2;19.56
Hombres;2010T1;19.80
Hombres;2009T4;18.56
Hombres;2009T3;17.62
Hombres;2009T2;17.56
Hombres;2009T1;16.85
Hombres;2008T4;12.96
Hombres;2008T3;10.29
Hombres;2008T2;9.06
Hombres;2008T1;7.90
Hombres;2007T4;6.89
Hombres;2007T3;6.25
Hombres;2007T2;6.15
Hombres;2007T1;6.34
Hombres;2006T4;6.12
Hombres;2006T3;6.05
Hombres;2006T2;6.38
Hombres;2006T1;6.86
Hombres;2005T4;6.73
Hombres;2005T3;6.56
Hombres;2005T2;7.41
Hombres;2005T1;7.84
Hombres;2004T4;7.83
Hombres;2004T3;8.20
Hombres;2004T2;8.33
Hombres;2004T1;8.68
Hombres;2003T4;8.58
Hombres;2003T3;8.39
Hombres;2003T2;8.27
Hombres;2003T1;8.76
Hombres;2002T4;8.65
Hombres;2002T3;8.33
Hombres;2002T2;7.86
Hombres;2002T1;8.36
Mujeres;2020T1;16.24
Mujeres;2019T4;15.55
Mujeres;2019T3;15.92
Mujeres;2019T2;15.78
Mujeres;2019T1;16.74
Mujeres;2018T4;16.26
Mujeres;2018T3;16.22
Mujeres;2018T2;17.08
Mujeres;2018T1;18.54
Mujeres;2017T4;18.35
Mujeres;2017T3;18.21
Mujeres;2017T2;19.04
Mujeres;2017T1;20.51
Mujeres;2016T4;20.25
Mujeres;2016T3;20.66
Mujeres;2016T2;21.82
Mujeres;2016T1;22.78
Mujeres;2015T4;22.52
Mujeres;2015T3;22.69
Mujeres;2015T2;24.01
Mujeres;2015T1;24.98
Mujeres;2014T4;24.74
Mujeres;2014T3;25.01
Mujeres;2014T2;25.38
Mujeres;2014T1;26.57
Mujeres;2013T4;26.53
Mujeres;2013T3;26.18
Mujeres;2013T2;26.71
Mujeres;2013T1;27.26
Mujeres;2012T4;26.22
Mujeres;2012T3;25.10
Mujeres;2012T2;24.36
Mujeres;2012T1;24.46
Mujeres;2011T4;22.92
Mujeres;2011T3;21.75
Mujeres;2011T2;20.92
Mujeres;2011T1;21.66
Mujeres;2010T4;20.51
Mujeres;2010T3;20.18
Mujeres;2010T2;20.30
Mujeres;2010T1;19.90
Mujeres;2009T4;18.80
Mujeres;2009T3;17.91
Mujeres;2009T2;18.04
Mujeres;2009T1;17.76
Mujeres;2008T4;14.85
Mujeres;2008T3;12.48
Mujeres;2008T2;12.08
Mujeres;2008T1;11.88
Mujeres;2007T4;10.82
Mujeres;2007T3;10.39
Mujeres;2007T2;10.35
Mujeres;2007T1;11.23
Mujeres;2006T4;11.17
Mujeres;2006T3;10.91
Mujeres;2006T2;11.28
Mujeres;2006T1;12.03
Mujeres;2005T4;11.47
Mujeres;2005T3;11.04
Mujeres;2005T2;12.00
Mujeres;2005T1;13.46
Mujeres;2004T4;14.35
Mujeres;2004T3;14.36
Mujeres;2004T2;15.03
Mujeres;2004T1;15.55
Mujeres;2003T4;15.41
Mujeres;2003T3;15.54
Mujeres;2003T2;15.68
Mujeres;2003T1;16.73
Mujeres;2002T4;16.00
Mujeres;2002T3;16.20
Mujeres;2002T2;16.04
Mujeres;2002T1;16.35
