princial;secundaria;presupuesto
Servicios Públicos básicos;Justicia;1869.20
Servicios Públicos básicos;Defensa;8537.06
Servicios Públicos básicos;Seguridad ciudadana e Instituciones penitenciarias;8878.73
Servicios Públicos básicos;Política Exterior y de Cooperación para el Desarrollo;1676.94
Gasto social;Pensiones;153864.29
Gasto social;Otras prestaciones económicas;15621.73
Gasto social;Servicios Sociales y Promoción Social;3645.05
Gasto social;Fomento del empleo;5984.61
Gasto social;Desempleo;18401.72
Gasto social;Acceso a la Vivienda y Fometo de la Edificación;678.69
Gasto social;Gestión y Administración de la Seguridad Social ;3346.22
Gasto social;Sanidad sin incluir Asistencia sanitaria del Mutualismo Administrativo;2037.35
Gasto social;Educación;2722.26
Gasto social;Cultura;952.85
Actuaciones de Carácter Económico;Agricultura, Pesca y Alimentación;7760.70
Actuaciones de Carácter Económico;Industria y Energía;5803.27
Actuaciones de Carácter Económico;Comercio. Turismo y P.Y.M.E.S.;907.87
Actuaciones de Carácter Económico;Subvenciones al transporte;2430.28
Actuaciones de Carácter Económico;Infraestructuras;7572.46
Actuaciones de Carácter Económico;Investigación, Desarrollo e Innovación Civil;6728.72
Actuaciones de Carácter Económico;Investigación, Desarrollo e Innovación Militar;684.32
Actuaciones de Carácter Económico;Otras Actuaciones de Carácter Económico;729.67
Actuaciones de Carácter General;Órganos Constitucionales, Gobierno y otros;710.58
Actuaciones de Carácter General;Servicios de Carácter General;16545.01
Actuaciones de Carácter General;Administración Financiera y Tributaria;1527.46
Actuaciones de Carácter General;Transferencias a otras Administraciones Públicas;52249.20
Actuaciones de Carácter General;Deuda Pública;31398.48
